0.4  17.799999 -0.4 -0.800000
0.8  17.799999 -0.4 -0.800000
1.2  17.799999 -0.4 -0.800000
1.6  17.900000 -0.4 -0.800000
2    17.900000 -0.4 -0.800000
2.4  17.900000 -0.4 -0.800000
2.8  17.900000 -0.4 -0.800000
3.2  17.900000 -0.4 -0.800000
3.6  17.900000 -0.4 -0.800000
4    17.900000 -0.4 -0.800000
4.4  17.900000 -0.4 -0.800000
4.8  17.900000 -0.4 -0.800000
5.2  17.900000 -0.4 -0.800000
5.6  17.900000 -0.4 -0.800000
6    17.900000 -0.4 -0.800000
6.4  17.900000 -0.4 -0.800000
6.8  17.900000 -0.4 -0.800000
7.2  17.900000 -0.4 -0.800000
7.6  17.900000 -0.4 -0.800000
8    17.900000 -0.4 -0.800000
8.4  17.900000 -0.4 -0.800000
8.8  17.900000 -0.4 -0.800000
9.2  17.900000 -0.5 -0.800000
9.6  17.900000 -0.4 -0.800000
10   17.900000 -0.5 -0.800000
10.4 17.900000 -0.5 -0.800000
10.8 17.900000 -0.5 -0.700000
11.2 16.799999 -0.7 -0.400000
11.6 15.300000 -0.5 -0.700000
12   12.700000 -0.5 -0.600000
12.4 9.600000 -0.5 -0.800000
12.8 5.700000 -0.5 -1.000000
13.2 1.400000 -0.5 -1.200000
13.6 -2.500000 -0.5 -1.600000
14   -6.500000 -0.6 -1.900000
14.4 -8.200000 -0.5 -2.500000
14.8 -8.600000 -0.4 -2.800000
15.2 -8.500000 -0.4 -2.800000
15.6 -7.700000 -0.4 -3.000000
16   -6.200000 -0.3 -3.200000
16.4 -4.300000 -0.2 -3.200000
16.8 0.200000 0 -3.200000
17.2 4.400000 0 -3.000000
17.6 6.500000 0 -2.800000
18   13.500000 0.1 -2.600000
18.4 15.400000 -0.2 -1.900000
18.8 15.500000 -0.3 -1.800000
19.2 16.299999 -0.1 -1.900000
19.6 19.600000 0 -1.900000
20   21.400000 -0.4 -1.200000
20.4 22.700001 -0.2 -1.400000
20.8 24.200001 -0.4 -1.000000
21.2 26.100000 -0.4 -1.100000
21.6 26.600000 -0.7 -0.600000
22   26.600000 -0.7 -0.500000
22.4 26.500000 -0.8 -0.400000
22.8 26.100000 -1 -0.100000
23.2 22.500000 -1.1 0.100000
23.6 16.400000 -1.3 0.300000
24   11.100000 -1 -0.100000
24.4 5.900000 -0.7 -0.700000
24.8 1.500000 -0.8 -0.900000
25.2 -3.400000 -0.6 -1.400000
25.6 -7.500000 -0.7 -1.800000
26   -9.000000 -0.5 -2.400000
26.4 -5.900000 -0.1 -3.100000
26.8 -2.800000 -0.2 -2.900000
27.2 1.600000 -0.1 -2.800000
27.6 10.200000 -0.1 -2.500000
28   12.000000 -0.2 -2.300000
28.4 15.500000 -0.1 -2.300000
28.8 22.100000 -0.2 -1.700000
29.2 25.299999 -0.1 -1.800000
29.6 30.700001 -0.4 -1.200000
30   32.099998 -1 -0.300000
30.4 32.099998 -1.2 -0.100000
30.8 30.799999 -1.3 0.000000
31.2 28.100000 -1.4 0.200000
31.6 23.799999 -1.5 0.300000
32   19.299999 -1.4 0.200000
32.4 15.200000 -1.1 -0.100000
32.8 11.700000 -1.1 -0.300000
33.2 8.400000 -1 -0.500000
33.6 3.900000 -0.9 -0.800000
34   0.200000 -0.9 -1.100000
34.4 -3.700000 -0.9 -1.500000
34.8 -6.600000 -0.9 -1.900000
35.2 -8.400000 -0.9 -2.300000
35.6 -8.700000 -0.8 -2.600000
36   -7.700000 -0.6 -2.900000
36.4 -4.800000 -0.4 -3.100000
36.8 0.300000 -0.2 -3.100000
37.2 5.500000 -0.1 -2.900000
37.6 8.900000 -0.5 -2.300000
38   10.700000 -0.4 -2.400000
38.4 15.100000 -0.2 -2.400000
38.8 23.799999 -0.3 -2.000000
39.2 26.900000 -0.9 -1.000000
39.6 27.600000 -0.9 -1.000000
40   28.900000 -1.1 -0.600000
40.4 28.799999 -1.2 -0.500000
40.8 26.200001 -1.6 0.000000
41.2 16.100000 -1.5 0.000000
41.6 10.900000 -1.4 -0.300000
42   6.600000 -1.2 -0.700000
42.4 -1.700000 -1.1 -1.300000
42.8 -6.400000 -1.2 -1.500000
43.2 -10.200000 -1.1 -2.100000
43.6 -12.200000 -1.1 -2.400000
44   -12.700000 -1 -2.700000
44.4 -11.800000 -0.8 -3.200000
44.8 -6.900000 -0.5 -3.400000
45.2 -3.000000 -0.4 -3.300000
45.6 2.600000 -0.3 -3.200000
46   6.300000 -0.5 -2.700000
46.4 9.600000 -0.4 -2.600000
46.8 13.000000 -0.5 -2.400000
47.2 15.400000 -0.4 -2.300000
47.6 18.100000 -0.6 -1.900000
48   18.799999 -0.9 -1.500000
48.4 18.799999 -0.9 -1.400000
48.8 18.799999 -1 -1.300000
49.2 18.799999 -1 -1.300000
49.6 18.500000 -1 -1.200000
50   18.500000 -1 -1.100000
50.4 18.500000 -1.1 -1.100000
50.8 18.500000 -1.1 -1.000000
51.2 18.500000 -1.1 -1.000000
51.6 18.500000 -1.1 -0.900000
52   18.500000 -1.1 -0.900000
52.4 18.500000 -1.1 -0.800000
52.8 18.500000 -1.1 -0.800000
53.2 18.500000 -1.1 -0.800000
53.6 18.600000 -1.1 -0.800000
54   18.600000 -1.1 -0.700000
54.4 18.600000 -1.1 -0.700000
54.8 18.600000 -1.1 -0.700000
55.2 18.600000 -1.1 -0.700000
55.6 18.600000 -1.1 -0.700000
56   18.600000 -1.1 -0.700000
56.4 18.600000 -1.1 -0.700000
56.8 18.600000 -1.1 -0.700000
57.2 18.700001 -1.1 -0.700000
57.6 18.700001 -1 -0.600000
58   18.700001 -1 -0.600000
58.4 18.700001 -1 -0.600000
58.8 18.700001 -1 -0.600000
59.2 18.700001 -1 -0.600000
59.6 18.700001 -1 -0.600000
60   18.700001 -1 -0.600000
60.4 18.700001 -1 -0.600000
60.8 18.700001 -1 -0.600000
61.2 18.700001 -1 -0.600000
61.6 18.799999 -1 -0.600000
62   18.799999 -1 -0.600000
62.4 18.799999 -0.9 -0.600000
62.8 18.799999 -0.9 -0.600000
63.2 18.799999 -0.9 -0.600000
63.6 18.799999 -0.9 -0.600000
64   18.900000 -0.9 -0.600000
64.4 18.900000 -0.9 -0.500000
64.8 18.900000 -0.9 -0.600000
65.2 18.900000 -0.9 -0.500000
65.6 18.900000 -0.9 -0.500000
66   18.900000 -0.9 -0.500000
66.4 18.900000 -0.9 -0.500000
66.8 18.900000 -0.9 -0.500000
67.2 18.900000 -0.8 -0.500000
67.6 18.900000 -0.8 -0.500000
68   18.900000 -0.8 -0.500000
68.4 18.900000 -0.8 -0.500000
68.8 18.900000 -0.8 -0.500000
69.2 18.900000 -0.8 -0.500000
69.6 18.900000 -0.8 -0.500000
70   18.900000 -0.8 -0.500000
70.4 19.000000 -0.8 -0.500000
70.8 19.000000 -0.8 -0.500000
71.2 19.000000 -0.8 -0.500000
71.6 19.000000 -0.8 -0.500000
72   19.000000 -0.8 -0.500000
72.4 19.000000 -0.8 -0.500000
72.8 19.000000 -0.7 -0.500000
73.2 19.000000 -0.7 -0.500000
73.6 19.000000 -0.7 -0.500000
74   19.000000 -0.7 -0.500000
